,0,1,2,3,4,5,6,7,8,9,10
302,on,ancre,fæst,eoforlic,scionon,,,,,,
303,ofer,hleorberan,gehroden,golde,,,,,,,
304,fah,ond,fyrheard,ferhwearde,heold,,,,,,
305,guþmod,grimmon,guman,onetton,,,,,,,
306,sigon,ætsomne,oþþæt,hy,sæl,timbred,,,,,
307,geatolic,ond,goldfah,ongyton,mihton,,,,,,
308,þæt,wæs,foremærost,foldbuendum,,,,,,,
309,receda,under,roderum,on,þæm,se,rica,bad,,,
310,lixte,se,leoma,ofer,landa,fela,,,,,
311,him,þa,hildedeor,hof,modigra,,,,,,
312,torht,getæhte,þæt,hie,him,to,mihton,,,,
313,gegnum,gangan,guðbeorna,sum,,,,,,,
314,wicg,gewende,word,æfter,cwæð,,,,,,
315,mæl,is,me,to,feran,fæder,alwalda,,,,
316,mid,arstafum,eowic,gehealde,,,,,,,
317,siða,gesunde,ic,to,sæ,wille,,,,,
318,wið,wrað,werod,wearde,healdan,,,,,,
319,stræt,wæs,stanfah,stig,wisode,,,,,,
320,gumum,ætgædere,guðbyrne,scan,,,,,,,
321,heard,hondlocen,hringiren,scir,,,,,,,
322,song,in,searwum,þa,hie,to,sele,furðum,,,
323,in,hyra,gryregeatwum,gangan,cwomon,,,,,,
324,setton,sæmeþe,side,scyldas,,,,,,,
325,rondas,regnhearde,wið,þæs,recedes,weal,,,,,
326,bugon,þa,to,bence,byrnan,hringdon,,,,,
327,guðsearo,gumena,garas,stodon,,,,,,,
328,sæmanna,searo,samod,ætgædere,,,,,,,
329,æscholt,ufan,græg,wæs,se,irenþreat,,,,,
330,wæpnum,gewurþad,þa,ðær,wlonc,hæleð,,,,,
331,oretmecgas,æfter,æþelum,frægn,,,,,,,
332,hwanon,ferigeað,ge,fætte,scyldas,,,,,,
333,græge,syrcan,ond,grimhelmas,,,,,,,
334,heresceafta,heap,ic,eom,hroðgares,,,,,,
335,ar,ond,ombiht,ne,seah,ic,elþeodige,,,,
336,þus,manige,men,modiglicran,,,,,,,
337,wen,ic,þæt,ge,for,wlenco,nalles,for,wræcsiðum,,
338,ac,for,higeþrymmum,hroðgar,sohton,,,,,,
339,him,þa,ellenrof,andswarode,,,,,,,
340,wlanc,wedera,leod,word,æfter,spræc,,,,,
341,heard,under,helme,we,synt,higelaces,,,,,
342,beodgeneatas,beowulf,is,min,nama,,,,,,
343,wille,ic,asecgan,sunu,healfdenes,,,,,,
344,mærum,þeodne,min,ærende,,,,,,,
345,aldre,þinum,gif,he,us,geunnan,wile,,,,
346,þæt,we,hine,swa,godne,gretan,moton,,,,
347,wulfgar,maþelode,þæt,wæs,wendla,leod,,,,,
348,wæs,his,modsefa,manegum,gecyðed,,,,,,
349,wig,ond,wisdom,ic,þæs,wine,deniga,,,,
350,frean,scildinga,frinan,wille,,,,,,,
351,beaga,bryttan,swa,þu,bena,eart,,,,,
352,þeoden,mærne,ymb,þinne,sið,,,,,,
353,ond,þe,þa,ondsware,ædre,gecyðan,,,,,
354,ðe,me,se,goda,agifan,þenceð,,,,,
355,hwearf,þa,hrædlice,þær,hroðgar,sæt,,,,,
356,eald,ond,anhar,mid,his,eorla,gedriht,,,,
357,eode,ellenrof,þæt,he,for,eaxlum,gestod,,,,
358,deniga,frean,cuþe,he,duguðe,þeaw,,,,,
359,wulfgar,maðelode,to,his,winedrihtne,,,,,,
360,her,syndon,geferede,feorran,cumene,,,,,,
361,ofer,geofenes,begang,geata,leode,,,,,,
362,þone,yldestan,oretmecgas,,,,,,,,
363,beowulf,nemnað,hy,benan,synt,,,,,,
364,þæt,hie,þeoden,min,wið,þe,moton,,,,
365,wordum,wrixlan,no,ðu,him,wearne,geteoh,,,,
366,ðinra,gegncwida,glædman,hroðgar,,,,,,,
367,hy,on,wiggetawum,wyrðe,þinceað,,,,,,
368,eorla,geæhtlan,huru,se,aldor,deah,,,,,
369,se,þæm,heaðorincum,hider,wisade,,,,,,
370,hroðgar,maþelode,helm,scyldinga,,,,,,,
371,ic,hine,cuðe,cnihtwesende,,,,,,,
372,wæs,his,ealdfæder,ecgþeo,haten,,,,,,
373,ðæm,to,ham,forgeaf,hreþel,geata,,,,,
374,angan,dohtor,is,his,eafora,nu,,,,,
375,heard,her,cumen,sohte,holdne,wine,,,,,
376,ðonne,sægdon,þæt,sæliþende,,,,,,,
377,þa,ðe,gifsceattas,geata,fyredon,,,,,,
378,þyder,to,þance,þæt,he,xxxtiges,,,,,
379,manna,mægencræft,on,his,mundgripe,,,,,,
380,heaþorof,hæbbe,hine,halig,god,,,,,,
381,for,arstafum,us,onsende,,,,,,,
382,to,westdenum,þæs,ic,wen,hæbbe,,,,,
383,wið,grendles,gryre,ic,þæm,godan,sceal,,,,
384,for,his,modþræce,madmas,beodan,,,,,,
385,beo,ðu,on,ofeste,hat,in,gan,,,,
386,seon,sibbegedriht,samod,ætgædere,,,,,,,
387,gesaga,him,eac,wordum,þæt,hie,sint,wilcuman,,,
388,deniga,leodum,,,,,,,,,
389,,word,inne,abead,,,,,,,
390,eow,het,secgan,sigedrihten,min,,,,,,
391,aldor,eastdena,þæt,he,eower,æþelu,can,,,,
392,ond,ge,him,syndon,ofer,sæwylmas,,,,,
393,heardhicgende,hider,wilcuman,,,,,,,,
394,nu,ge,moton,gangan,in,eowrum,guðgeatawum,,,,
395,under,heregriman,hroðgar,geseon,,,,,,,
396,lætað,hildebord,her,onbidan,,,,,,,
397,wudu,wælsceaftas,worda,geþinges,,,,,,,
398,aras,þa,se,rica,ymb,hine,rinc,manig,,,
399,þryðlic,þegna,heap,sume,þær,bidon,,,,,
400,heaðoreaf,heoldon,swa,him,se,hearda,bebead,,,,
401,snyredon,ætsomne,þa,secg,wisode,,,,,,
402,under,heorotes,hrof,,,,,,,,
403,heard,under,helme,þæt,he,on,heoðe,gestod,,,
404,beowulf,maðelode,on,him,byrne,scan,,,,,
405,searonet,seowed,smiþes,orþancum,,,,,,,
406,wæs,þu,hroðgar,hal,ic,eom,higelaces,,,,
407,mæg,ond,magoðegn,hæbbe,ic,mærða,fela,,,,
408,ongunnen,on,geogoþe,me,wearð,grendles,þing,,,,
409,on,minre,eþeltyrf,undyrne,cuð,,,,,,
410,secgað,sæliðend,þæt,þæs,sele,stande,,,,,
411,reced,selesta,rinca,gehwylcum,,,,,,,
412,idel,ond,unnyt,siððan,æfenleoht,,,,,,
413,under,heofenes,hador,beholen,weorþeð,,,,,,
414,þa,me,þæt,gelærdon,leode,mine,,,,,
415,þa,selestan,snotere,ceorlas,,,,,,,
416,þeoden,hroðgar,þæt,ic,þe,sohte,,,,,
417,forþan,hie,mægenes,cræft,minne,cuþon,,,,,
418,selfe,ofersawon,ða,ic,of,searwum,cwom,,,,
419,fah,from,feondum,þær,ic,fife,geband,,,,
