,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
261,a,noble,warrior,name,ecgtheow,,,,,,,,,,,,,,
262,he,outlasted,many,a,long,winter,,,,,,,,,,,,,
263,and,went,on,his,way,all,over,the,world,,,,,,,,,,
264,wise,men,in,council,continue,to,remember,him,,,,,,,,,,,
265,we,come,in,good,faith,to,find,your,lord,,,,,,,,,,
266,and,nations,shield,the,son,of,halfdane,,,,,,,,,,,,
267,give,us,the,right,to,advise,and,direction,,,,,,,,,,,
268,we,have,arrived,here,on,a,great,errand,270,,,,,,,,,,
269,to,the,lord,of,the,danes,and,i,believe,therefore,,,,,,,,,
270,there,should,be,nothing,hidden,or,withheld,between,us,,,,,,,,,,
271,so,tell,us,if,what,we,have,heard,is,true,,,,,,,,,
272,about,this,threat,whatever,it,is,,,,,,,,,,,,,
273,this,danger,abroad,in,the,dark,nights,,,,,,,,,,,,
274,this,corpsemaker,mongering,death,,,,,,,,,,,,,,,
275,in,the,shieldings,country,i,come,to,proffer,,,,,,,,,,,
276,my,wholehearted,help,and,counsel,,,,,,,,,,,,,,
277,i,can,show,the,wise,hrothgar,a,way,,,,,,,,,,,
278,to,defeat,his,enemy,and,find,respite,280,,,,,,,,,,,
279,if,any,respite,is,to,reach,him,ever,,,,,,,,,,,
280,i,can,calm,the,turmoil,and,terror,in,his,mind,,,,,,,,,
281,otherwise,he,must,endure,woes,,,,,,,,,,,,,,
282,and,live,with,grief,for,as,long,as,his,hall,,,,,,,,,
283,stands,at,the,horizon,on,its,high,ground,,,,,,,,,,,
284,undaunted,sitting,astride,his,horse,,,,,,,,,,,,,,
285,the,coastguard,answered,anyone,with,gumption,,,,,,,,,,,,,
286,and,a,sharp,mind,will,take,the,measure,,,,,,,,,,,
287,of,two,things,whats,said,and,whats,done,,,,,,,,,,,
288,i,believe,what,you,have,told,me,that,you,are,a,troop,290,,,,,,
289,loyal,to,our,king,so,come,ahead,,,,,,,,,,,,
290,with,your,arms,and,your,gear,and,i,will,guide,you,,,,,,,,
291,whats,more,ill,order,my,own,comrades,,,,,,,,,,,,
292,on,their,word,of,honor,to,watch,your,boat,,,,,,,,,,
293,down,there,on,the,strandkeep,her,safe,,,,,,,,,,,,
294,in,her,fresh,tar,until,the,time,comes,,,,,,,,,,,
295,for,her,curved,prow,to,preen,on,the,waves,,,,,,,,,,
296,and,bear,this,hero,back,to,geatland,,,,,,,,,,,,
297,may,one,so,valiant,and,venturesome,,,,,,,,,,,,,
298,come,unharmed,through,the,clash,of,battle,300,,,,,,,,,,,
299,so,they,went,on,their,way,the,ship,rode,the,water,,,,,,,,
300,broadbeamed,bound,by,its,hawser,,,,,,,,,,,,,,
301,and,anchored,fast,boarshapes,flashed,,,,,,,,,,,,,,
302,above,their,cheekguards,the,brightly,forged,,,,,,,,,,,,,
303,work,of,goldsmiths,watching,over,,,,,,,,,,,,,,
304,those,sternfaced,men,they,marched,in,step,,,,,,,,,,,,
305,hurrying,on,till,the,timbered,hall,,,,,,,,,,,,,
306,rose,before,them,radiant,with,gold,,,,,,,,,,,,,
307,nobody,on,earth,knew,of,another,,,,,,,,,,,,,
308,building,like,it,majesty,lodged,there,310,,,,,,,,,,,,
309,and,its,light,shone,over,many,lands,,,,,,,,,,,,
310,so,their,gallant,escort,guided,them,,,,,,,,,,,,,
311,to,that,dazzling,stronghold,and,indicated,,,,,,,,,,,,,
312,the,shortest,way,to,it,then,the,noble,warrior,,,,,,,,,,
313,wheeled,on,his,horse,and,spoke,these,words,,,,,,,,,,,
314,it,is,time,for,me,to,go,may,the,almighty,,,,,,,,,
315,father,keep,you,and,in,his,kindness,,,,,,,,,,,,
316,watch,over,your,exploits,im,away,to,the,sea,,,,,,,,,,
317,back,on,alert,against,enemy,raiders,,,,,,,,,,,,,
318,it,was,a,paved,track,a,path,that,kept,them,320,,,,,,,,
319,in,marching,order,their,mailshirts,glinted,,,,,,,,,,,,,
320,hard,and,handlinked,the,highgloss,iron,,,,,,,,,,,,,
321,of,their,armour,rang,so,they,duly,arrived,,,,,,,,,,,
322,in,their,grim,wargraith,and,gear,at,the,hall,,,,,,,,,,
323,and,weary,from,the,sea,stacked,wide,shields,,,,,,,,,,,
324,of,the,toughest,hardwood,against,the,wall,,,,,,,,,,,,
325,then,collapsed,on,the,benches,battledress,,,,,,,,,,,,,
326,and,weapons,clashed,they,collected,their,spears,,,,,,,,,,,,
327,in,a,seafarers,stook,a,stand,of,grayish,,,,,,,,,,,
328,tapering,ash,and,the,troops,themselves,330,,,,,,,,,,,,
329,were,as,good,as,their,weapons,then,a,proud,warrior,,,,,,,,,
330,questioned,the,men,concerning,their,origins,,,,,,,,,,,,,
331,where,do,you,come,from,carrying,these,,,,,,,,,,,,
332,decorated,shields,and,shirts,of,mail,,,,,,,,,,,,,
333,these,cheekhinged,helmets,and,javelins,,,,,,,,,,,,,,
334,i,am,hrothgars,herald,and,officer,,,,,,,,,,,,,
335,i,have,never,seen,so,impressive,or,large,,,,,,,,,,,
336,an,assembly,of,strangers,stoutness,of,heart,,,,,,,,,,,,
337,bravery,not,banishment,must,have,brought,you,to,hrothgar,,,,,,,,,,
338,the,man,whose,name,was,known,for,courage,340,,,,,,,,,,
339,the,geat,leader,resolute,in,his,helmet,,,,,,,,,,,,
340,answered,in,return,we,are,retainers,,,,,,,,,,,,,
341,from,hygelacs,band,beowulf,is,my,name,,,,,,,,,,,,
342,if,your,lord,and,master,the,most,renowned,,,,,,,,,,,
343,son,of,halfdane,will,hear,me,out,,,,,,,,,,,,
344,and,graciously,allow,me,to,greet,him,in,person,,,,,,,,,,
345,i,am,ready,and,willing,to,report,my,errand,,,,,,,,,,
346,wulfgar,replied,a,wendel,chief,,,,,,,,,,,,,,
347,renowned,as,a,warrior,well,known,for,his,wisdom,,,,,,,,,,
348,and,the,temper,of,his,mind,i,will,take,this,message,350,,,,,,,
